comments,likes
"CORRECTION: Google is estimating the time commitment to be 10 hours per WEEK, NOT per DAY like I said in the video 🤦🏼‍♂️ 😂 Apparently I didn't have enough coffee before making this video.",3713
"Berharap ada part 2 Yusril
Nyambung banget jokesnya ke Indra
😂",0
Dude. Is it at all possible to CODE &/or complete a certification program.........on an android?!?!?!,0
is this the same now a days?,0
"I finished this course, and I'd say that is a bit disappointment for me because I find it pretty entry level and simple, and also a lot of taking time and a lot of content pretty useless. It seems to me that they entire content could have been squeezed to one third of existing as introducery, and thereafter essential staff to br presented. Also little to no emphasize at building portfolio project and thus gaining experience as essential part of future employment. Definitlely I wouldn't recommend.",0
Can I start applying for entry jobs after finishing this course? Should I?,0
What software can create an animated video like the intro - beginning of this video?,0
Dude you should consider applying de-esser to your voice recording,0
"Hello, I am 22, from India. I recently graduated from commerce background. Can I do Coursera courses and will it help me land an IT job? Is there scope for non IT people to get into an IT job? I am not sure which domain I am interested in. Some suggestions will be very helpful.",0
10 hours per week*,0
Sir I have completed my google data analytics professional certificate all 8 courses but now when I am clicking on purchase certificate its displaying coursera down for maintenance and it has been like this since weeks Could you please help me for the same. Please I have even contacted coursera but I am Not getting any help from there too. Please if you get this comment reply soon that would be kind enough of you thanks,0
It is not free. You have to pay Coursera for logging in.,0
Sir I completed my data analytics certificate today But I haven't received the certificate exactly shown in the video I just received a badge from credly on completion please tell me how to get the certificate which you shown in this video,0
I Have learned almost all skills required for data analyst still due to Market recession and layoffs not getting job anywhere need refferal if anyone has,0
"I’ve had a little bit of a hard time getting a job as an operations/business analyst (I’ve had a few interviews and someone with more experience has been picked over me every time). The more I research, I realize I am very interested in the data analyst route. I have a degree in finance, use to work in fintech banking operations for 2&1/2 years and am currently self teaching myself SQL & Python, as I see this is required quite a bit. I just left the mortgage lending industry and currently work as a waitress (been there part time for 7 years). Financially I am fine, so i am ready to take a new route on certifying, wondering if this the missing piece for me to finally get hired or any other recommendations? Thank you for sharing.",0
I wanna tried it but I haven't enough financial support to persue it one reason why I also stop on studying,0
It's a CREDIT course ?,0
Is this available in the Philippines?,0
"now my dream data analyst
i prayed for learn dàta analys.
thank you lord this upportunity👃",0
"I tried enrolling with my visa card,  but it's not going through",0
"This is my new hobby this year. I'm collecting certifications like Pokémon. Sasly, I only have 1 so far, lol.",0
Does this have anything to do with math? Cause that’s not my strong suit 😂😂,0
"Learning to code will become obsolete. The age of AI is here. So, we will be under the mercy of the almighty god of artificial intelligence very soon.",0
how can I print the certificate like in this video? I have it digital,0
Honestly someone showing me Coursera changed my life. I used to do manual labor jobs. I felt super discouraged because my skillset was all in industrial settings like that when I hated those kinds of jobs but they were all I could get. Now I'm working to get a data analysis certificate to start doing what I love!,30
I am facing a lot of trouble finding a job in my country as a data analyst. Do you have any suggestions for me?,0
"LMAO, That was paid",0
